location,datetime,tempmax,humidity,solarradiation
colombo,2017-02-10,28.8,62.0,855.0
colombo,2017-02-11,29.5,60.0,947.0
colombo,2017-02-12,29.8,56.0,991.0
colombo,2017-02-13,31.4,47.0,992.0
colombo,2017-02-14,31.5,54.0,711.0
colombo,2017-02-15,31.5,56.0,769.0
colombo,2017-02-16,34.3,37.0,975.0
colombo,2017-02-17,34.0,38.0,833.0
colombo,2017-02-18,32.7,44.0,917.0
colombo,2017-02-19,31.0,60.0,696.0
colombo,2017-02-20,28.0,77.0,546.0
colombo,2017-02-21,28.7,72.0,795.0
colombo,2017-02-22,29.5,64.0,856.0
colombo,2017-02-23,29.5,65.0,717.0
colombo,2017-02-24,29.2,68.0,705.0
colombo,2017-02-25,30.5,62.0,876.0
colombo,2017-02-26,27.9,73.0,409.0
colombo,2017-02-27,31.4,55.0,840.0
colombo,2017-02-28,31.8,60.0,785.0
colombo,2017-03-01,29.3,67.0,583.0
colombo,2017-03-02,29.4,69.0,725.0
colombo,2017-03-03,30.0,71.0,922.0
colombo,2017-03-04,28.8,78.0,691.0
colombo,2017-03-05,29.9,68.0,904.0
colombo,2017-03-06,30.0,71.0,950.0
colombo,2017-03-07,29.8,69.0,788.0
colombo,2017-03-08,30.2,67.0,878.0
colombo,2017-03-09,29.5,71.0,724.0
colombo,2017-03-10,29.8,74.0,900.0
colombo,2017-03-11,28.1,80.0,815.0
colombo,2017-03-12,29.8,73.0,843.0
colombo,2017-03-13,30.0,72.0,860.0
colombo,2017-03-14,29.9,68.0,761.0
colombo,2017-03-15,29.5,72.0,752.0
colombo,2017-03-16,29.2,74.0,851.0
colombo,2017-03-17,29.8,67.0,816.0
colombo,2017-03-18,29.4,73.0,852.0
colombo,2017-03-19,29.6,74.0,755.0
colombo,2017-03-20,29.9,71.0,890.0
colombo,2017-03-21,30.2,69.0,937.0
colombo,2017-03-22,30.7,67.0,1022.0
colombo,2017-03-23,29.8,66.0,878.0
colombo,2017-03-24,30.1,65.0,947.0
colombo,2017-03-25,29.0,69.0,723.0
colombo,2017-03-26,30.2,59.0,925.0
colombo,2017-03-27,29.2,66.0,652.0
colombo,2017-03-28,29.3,69.0,680.0
colombo,2017-03-29,30.5,67.0,797.0
colombo,2017-03-30,30.5,67.0,946.0
colombo,2017-03-31,30.4,73.0,683.0
colombo,2017-04-01,30.8,63.0,803.0
colombo,2017-04-02,30.4,69.0,871.0
colombo,2017-04-03,29.6,78.0,784.0
colombo,2017-04-04,29.6,76.0,719.0
colombo,2017-04-05,30.4,69.0,836.0
colombo,2017-04-06,30.3,72.0,807.0
colombo,2017-04-07,30.5,68.0,909.0
colombo,2017-04-08,30.3,72.0,917.0
colombo,2017-04-09,30.9,65.0,883.0
colombo,2017-04-10,30.6,66.0,821.0
colombo,2017-04-11,31.0,71.0,937.0
colombo,2017-04-12,30.0,74.0,639.0
colombo,2017-04-13,29.5,79.0,697.0
colombo,2017-04-14,29.8,81.0,841.0
colombo,2017-04-15,31.1,63.0,887.0
colombo,2017-04-16,31.2,67.0,837.0
colombo,2017-04-17,31.1,72.0,839.0
colombo,2017-04-18,31.2,67.0,822.0
colombo,2017-04-19,31.2,65.0,937.0
colombo,2017-04-20,31.1,66.0,879.0
colombo,2017-04-21,30.9,65.0,703.0
colombo,2017-04-22,31.2,66.0,887.0
colombo,2017-04-23,31.3,67.0,852.0
colombo,2017-04-24,30.8,72.0,815.0
colombo,2017-04-25,30.4,75.0,775.0
colombo,2017-04-26,31.1,64.0,781.0
colombo,2017-04-27,31.0,63.0,861.0
colombo,2017-04-28,31.0,68.0,937.0
colombo,2017-04-29,31.2,66.0,831.0
colombo,2017-04-30,32.0,61.0,964.0
colombo,2017-05-01,31.1,63.0,857.0
colombo,2017-05-02,31.2,62.0,966.0
colombo,2017-05-03,30.5,67.0,802.0
colombo,2017-05-04,31.4,62.0,856.0
colombo,2017-05-05,31.6,60.0,719.0
colombo,2017-05-06,31.6,62.0,705.0
colombo,2017-05-07,31.0,67.0,849.0
colombo,2017-05-08,31.7,60.0,893.0
colombo,2017-05-09,31.6,64.0,767.0
colombo,2017-05-10,31.7,66.0,836.0
colombo,2017-05-11,30.3,70.0,772.0
colombo,2017-05-12,30.9,67.0,808.0
colombo,2017-05-13,30.7,73.0,794.0
colombo,2017-05-14,30.4,75.0,782.0
colombo,2017-05-15,30.1,78.0,660.0
colombo,2017-05-16,30.7,72.0,788.0
colombo,2017-05-17,30.0,81.0,801.0
colombo,2017-05-18,28.1,83.0,353.0
colombo,2017-05-19,30.5,72.0,843.0
colombo,2017-05-20,29.4,77.0,563.0
colombo,2017-05-21,29.6,77.0,581.0
colombo,2017-05-22,28.5,83.0,270.0
colombo,2017-05-23,28.1,83.0,542.0
colombo,2017-05-24,28.5,86.0,413.0
colombo,2017-05-25,28.5,84.0,562.0
colombo,2017-05-26,28.6,78.0,434.0
colombo,2017-05-27,28.8,84.0,554.0
colombo,2017-05-28,29.6,80.0,798.0
colombo,2017-05-29,29.3,76.0,665.0
colombo,2017-05-30,28.1,77.0,249.0
colombo,2017-05-31,28.3,83.0,488.0
colombo,2017-06-01,28.9,79.0,763.0
colombo,2017-06-02,28.5,79.0,682.0
colombo,2017-06-03,27.2,87.0,259.0
colombo,2017-06-04,28.4,81.0,624.0
colombo,2017-06-05,28.3,83.0,472.0
colombo,2017-06-06,28.9,80.0,640.0
colombo,2017-06-07,28.4,81.0,487.0
colombo,2017-06-08,29.4,80.0,820.0
colombo,2017-06-09,29.1,78.0,850.0
colombo,2017-06-10,28.5,81.0,755.0
colombo,2017-06-11,28.8,80.0,754.0
colombo,2017-06-12,28.7,82.0,652.0
colombo,2017-06-13,28.6,82.0,703.0
colombo,2017-06-14,28.2,84.0,581.0
colombo,2017-06-15,28.2,82.0,622.0
colombo,2017-06-16,27.7,84.0,513.0
colombo,2017-06-17,29.4,77.0,841.0
colombo,2017-06-18,28.6,84.0,543.0
colombo,2017-06-19,27.2,87.0,456.0
colombo,2017-06-20,29.0,80.0,694.0
colombo,2017-06-21,28.6,79.0,563.0
colombo,2017-06-22,28.7,82.0,726.0
colombo,2017-06-23,27.6,80.0,387.0
colombo,2017-06-24,27.9,80.0,613.0
colombo,2017-06-25,28.5,78.0,581.0
colombo,2017-06-26,28.4,78.0,584.0
colombo,2017-06-27,28.3,80.0,666.0
colombo,2017-06-28,28.9,77.0,812.0
colombo,2017-06-29,29.3,78.0,903.0
colombo,2017-06-30,29.3,79.0,813.0
colombo,2017-07-01,28.7,81.0,679.0
colombo,2017-07-02,29.2,77.0,820.0
colombo,2017-07-03,29.3,73.0,818.0
colombo,2017-07-04,29.2,78.0,871.0
colombo,2017-07-05,29.2,72.0,770.0
colombo,2017-07-06,29.3,73.0,840.0
colombo,2017-07-07,28.8,78.0,648.0
colombo,2017-07-08,28.5,82.0,594.0
colombo,2017-07-09,26.7,85.0,319.0
colombo,2017-07-10,28.2,78.0,646.0
colombo,2017-07-11,28.9,79.0,780.0
colombo,2017-07-12,28.8,78.0,732.0
colombo,2017-07-13,29.0,77.0,834.0
colombo,2017-07-14,28.7,77.0,699.0
colombo,2017-07-15,28.7,76.0,582.0
colombo,2017-07-16,29.0,76.0,725.0
colombo,2017-07-17,28.9,77.0,803.0
colombo,2017-07-18,29.1,72.0,770.0
colombo,2017-07-19,28.7,81.0,752.0
colombo,2017-07-20,29.1,75.0,830.0
colombo,2017-07-21,29.0,76.0,817.0
colombo,2017-07-22,29.3,76.0,794.0
colombo,2017-07-23,28.8,80.0,583.0
colombo,2017-07-24,29.1,71.0,641.0
colombo,2017-07-25,29.0,79.0,773.0
colombo,2017-07-26,29.1,76.0,735.0
colombo,2017-07-27,29.1,76.0,818.0
colombo,2017-07-28,29.3,78.0,906.0
colombo,2017-07-29,28.7,78.0,734.0
colombo,2017-07-30,28.8,79.0,698.0
colombo,2017-07-31,28.0,82.0,533.0
colombo,2017-08-01,28.5,79.0,694.0
colombo,2017-08-02,28.6,79.0,745.0
colombo,2017-08-03,28.9,77.0,763.0
colombo,2017-08-04,28.5,79.0,776.0
colombo,2017-08-05,28.5,80.0,781.0
colombo,2017-08-06,27.8,81.0,480.0
colombo,2017-08-07,27.5,83.0,595.0
colombo,2017-08-08,28.4,81.0,661.0
colombo,2017-08-09,28.7,80.0,803.0
colombo,2017-08-10,27.9,81.0,643.0
colombo,2017-08-11,28.2,78.0,752.0
colombo,2017-08-12,28.5,79.0,833.0
colombo,2017-08-13,28.5,78.0,733.0
colombo,2017-08-14,28.3,79.0,727.0
colombo,2017-08-15,28.5,77.0,854.0
colombo,2017-08-16,28.5,75.0,773.0
colombo,2017-08-17,28.6,76.0,800.0
colombo,2017-08-18,27.5,81.0,484.0
colombo,2017-08-19,28.6,76.0,649.0
colombo,2017-08-20,28.6,76.0,787.0
colombo,2017-08-21,28.6,79.0,810.0
colombo,2017-08-22,28.3,79.0,613.0
colombo,2017-08-23,27.6,83.0,408.0
colombo,2017-08-24,28.2,79.0,643.0
colombo,2017-08-25,28.6,81.0,782.0
colombo,2017-08-26,28.6,80.0,869.0
